Ticker,URL
AMD,"{""url"":amd.com}"
ADBE,"{""url"":adobe.com}"
ABNB,"{""url"":airbnb.com}"
ALGN,"{""url"":aligntech.com}"
AMZN,"{""url"":amazon.com}"
AMGN,"{""url"":amgen.com}"
AEP,"{""url"":aep.com}"
ADI,"{""url"":analog.com}"
ANSS,"{""url"":ansys.com}"
AAPL,"{""url"":apple.com}"
AMAT,"{""url"":appliedmaterials.com}"
ASML,"{""url"":asml.com}"
TEAM,"{""url"":atlassian.com}"
ADSK,"{""url"":autodesk.com}"
ATVI,"{""url"":activisionblizzard.com}"
ADP,"{""url"":adp.com}"
AZN,"{""url"":astrazeneca.com}"
AVGO,"{""url"":broadcom.com}"
BIDU,"{""url"":ir.baidu.com}"
BIIB,"{""url"":biogen.com}"
BMRN,"{""url"":biomarin.com}"
BKNG,"{""url"":bookkingholdings.com}"
CDNS,"{""url"":cadence.com}"
CHTR,"{""url"":spectrum.com}"
CPRT,"{""url"":copart.com}"
CRWD,"{""url"":crowdstrike.com}"
CTAS,"{""url"":cintas.com}"
CSCO,"{""url"":cisco.com}"
CMCSA,"{""url"":xfinitiy.com}"
COST,"{""url"":costco.com}"
CSX,"{""url"":csx.com}"
CTSH,"{""url"":cognizant.com}"
DDOG,"{""url"":datadoghq.com}"